station_code,track,hour_of_day,day_of_week,is_amtrak,line_code,destination,minutes_since_track_used
MP,1,22,0,1,AM,New York Penn,-1.0
MP,1,23,0,1,AM,New York Penn,57.0
MP,1,0,1,1,AM,New York Penn,57.0
MP,4,0,1,1,AM,Washington Union,-1.0
MP,1,1,1,1,AM,New York Penn,53.0
MP,1,1,1,1,AM,New York Penn,22.0
MP,1,2,1,1,AM,New York Penn,74.0
MP,4,8,1,1,AM,Roanoke,490.0
MP,4,9,1,1,AM,Washington Union,32.0
MP,4,9,1,1,AM,Washington Union,34.0
MP,4,10,1,1,AM,Washington Union,39.0
MP,4,10,1,1,AM,Washington Union,21.0
MP,4,11,1,1,AM,Harrisburg,54.0
MP,4,11,1,1,AM,Washington Union,8.0
MP,1,15,1,1,AM,Boston South,771.0
MP,1,15,1,1,AM,Boston South,10.0
MP,4,17,1,1,AM,Roanoke,321.0
MP,4,17,1,1,AM,Harrisburg,10.0
MP,1,18,1,1,AM,New York Penn,132.0
MP,4,19,1,1,AM,Richmond Main Street,133.0
MP,4,22,1,1,AM,Washington Union,140.0
MP,1,22,1,1,AM,New York Penn,238.0
MP,4,22,1,1,AM,Washington Union,39.0
MP,1,0,2,1,AM,New York Penn,166.0
MP,4,1,2,1,AM,Philadelphia 30th Street,174.0
MP,4,8,2,1,AM,Roanoke,435.0
MP,4,9,2,1,AM,Washington Union,32.0
MP,4,9,2,1,AM,Washington Union,34.0
MP,4,10,2,1,AM,Savannah,39.0
MP,4,10,2,1,AM,Washington Union,21.0
MP,4,11,2,1,AM,Harrisburg,54.0
MP,4,11,2,1,AM,Washington Union,8.0
MP,1,13,2,0,No,New York,735.0
MP,1,13,2,1,AM,New York Penn,23.0
MP,1,13,2,0,No,New York -SEC &#9992,25.0
MP,4,13,2,1,AM,Washington Union,123.0
MP,4,14,2,0,No,Trenton,3.5
MP,4,14,2,0,No,Trenton,17.8
MP,1,14,2,0,No,New York -SEC &#9992,39.5
MP,4,14,2,0,No,Trenton,25.2
MP,1,14,2,0,No,New York -SEC &#9992,24.8
MP,4,15,2,0,No,Trenton,34.5
MP,1,15,2,1,AM,Boston South,56.8
MP,4,15,2,0,No,Trenton,34.5
MP,1,16,2,0,No,New York -SEC &#9992,20.8
MP,1,16,2,0,No,New York -SEC &#9992,21.8
MP,1,17,2,0,NE,New York,28.8
MP,4,17,2,1,AM,Harrisburg,92.5
MP,1,17,2,0,No,New York -SEC &#9992,48.0
MP,4,18,2,0,No,Trenton,50.2
MP,1,18,2,0,No,New York -SEC &#9992,35.2
MP,1,18,2,0,No,New York -SEC &#9992,28.8
MP,4,19,2,0,No,Jersey Avenue -SEC &#9992,57.0
MP,1,19,2,0,No,New York -SEC &#9992,22.8
MP,1,21,2,0,No,New York -SEC,128.0
MP,4,21,2,0,No,Jersey Avenue -SEC &#9992,136.8
MP,1,21,2,0,No,New York -SEC,10.8
MP,4,21,2,0,No,Jersey Avenue -SEC &#9992,18.5
MP,4,22,2,1,AM,Washington Union,10.5
MP,4,22,2,1,AM,Washington Union,39.0
