station_code,track,hour_of_day,day_of_week,is_amtrak,line_code,destination,minutes_since_track_used
NP,2,22,0,1,AM,New York Penn,-1.0
NP,2,23,0,1,AM,New York Penn,55.0
NP,3,0,1,1,AM,Harrisburg,-1.0
NP,2,0,1,1,AM,New York Penn,34.0
NP,2,0,1,1,AM,New York Penn,2.0
NP,4,0,1,1,AM,Washington Union,1.8
NP,4,8,1,1,AM,Roanoke,357.8
NP,3,9,1,1,AM,Washington Union,537.0
NP,3,9,1,1,AM,Washington Union,34.0
NP,3,10,1,1,AM,Washington Union,21.0
NP,3,10,1,1,AM,Washington Union,18.0
NP,3,10,1,1,AM,Washington Union,22.0
NP,3,11,1,1,AM,Charlotte,43.0
NP,3,11,1,1,AM,Harrisburg,10.0
NP,3,11,1,1,AM,Washington Union,7.0
NP,3,13,1,1,AM,Harrisburg,123.0
NP,3,15,1,1,AM,Pittsburgh,85.0
NP,4,15,1,1,AM,Washington Union,414.0
NP,2,15,1,1,AM,Boston South,942.0
NP,3,16,1,1,AM,Harrisburg,73.0
NP,3,16,1,1,AM,Washington Union,4.0
NP,2,16,1,1,AM,New York Penn,61.0
NP,4,17,1,1,AM,Roanoke,98.0
NP,3,17,1,1,AM,Harrisburg,44.0
NP,4,18,1,1,AM,Washington Union,70.0
NP,3,18,1,1,AM,Washington Union,80.0
NP,4,18,1,1,AM,Harrisburg,22.0
NP,4,19,1,1,AM,Richmond Main Street,52.0
NP,3,20,1,1,AM,Harrisburg,110.0
NP,3,20,1,1,AM,Washington Union,21.0
NP,3,21,1,1,AM,Harrisburg,46.0
NP,4,21,1,1,AM,Washington Union,143.0
NP,3,22,1,1,AM,Washington Union,58.0
NP,4,1,2,1,AM,Philadelphia 30th Street,214.0
NP,4,8,2,1,AM,Roanoke,427.0
NP,3,9,2,1,AM,Washington Union,641.0
NP,3,9,2,1,AM,Washington Union,34.0
NP,3,10,2,1,AM,Washington Union,21.0
NP,3,10,2,1,AM,Savannah,18.0
NP,3,10,2,1,AM,Washington Union,22.0
NP,3,11,2,1,AM,Charlotte,43.0
NP,3,11,2,1,AM,Harrisburg,10.0
NP,3,11,2,1,AM,Washington Union,7.0
NP,1,13,2,0,No,New York,2211.0
NP,4,13,2,0,No,Trenton,307.0
NP,2,13,2,1,AM,New York Penn,1244.0
NP,3,13,2,1,AM,Harrisburg,123.0
NP,4,13,2,1,AM,Washington Union,8.0
NP,4,13,2,0,No,Trenton,7.2
NP,1,14,2,0,No,New York -SEC &#9992,56.0
NP,4,14,2,0,No,Trenton,28.0
NP,1,14,2,0,No,New York -SEC &#9992,35.0
NP,4,14,2,0,No,Trenton,33.8
NP,5,15,2,0,Ra,Raritan,2181.8
NP,3,15,2,1,AM,Pittsburgh,85.0
NP,1,15,2,0,No,New York -SEC &#9992,31.0
NP,4,15,2,1,AM,Washington Union,30.0
NP,4,15,2,0,No,Trenton,3.8
NP,1,16,2,0,No,New York -SEC &#9992,52.0
NP,3,16,2,1,AM,Harrisburg,73.0
NP,3,16,2,1,AM,Washington Union,4.0
NP,1,16,2,0,No,New York -SEC &#9992,24.0
NP,1,17,2,0,No,New York -SEC &#9992,21.5
NP,3,17,2,1,AM,Harrisburg,44.0
NP,1,17,2,0,No,New York -SEC &#9992,11.5
NP,1,17,2,0,NE,New York,20.0
NP,4,17,2,0,No,Trenton,142.5
NP,4,18,2,0,No,Long Branch -SEC &#9992,11.8
NP,1,18,2,0,No,New York -SEC &#9992,38.0
NP,4,18,2,1,AM,Washington Union,10.0
NP,1,18,2,0,No,New York -SEC &#9992,10.0
NP,3,18,2,1,AM,Washington Union,80.0
NP,4,18,2,1,AM,Harrisburg,22.0
NP,4,18,2,0,No,Jersey Avenue -SEC &#9992,13.0
NP,1,18,2,0,No,New York -SEC &#9992,33.0
NP,4,19,2,1,AM,Harrisburg,18.0
NP,1,19,2,0,No,New York -SEC &#9992,19.0
NP,4,19,2,0,No,Trenton &#9992,11.8
NP,1,19,2,0,No,New York -SEC &#9992,10.0
NP,1,19,2,0,No,New York -SEC &#9992,22.0
NP,3,20,2,1,AM,Harrisburg,110.0
NP,3,20,2,1,AM,Washington Union,21.0
NP,4,21,2,0,No,Jersey Avenue -SEC &#9992,113.0
NP,4,21,2,0,No,Bay Head -SEC,12.0
NP,4,21,2,0,No,South Amboy -SEC,3.2
NP,3,21,2,1,AM,Harrisburg,46.0
NP,4,21,2,0,No,Jersey Avenue -SEC &#9992,3.8
