station_code,track,hour_of_day,day_of_week,is_amtrak,line_code,destination,minutes_since_track_used
NY,11,23,0,1,AM,Harrisburg,-1.0
NY,14,10,1,1,AM,Washington Union,-1.0
NY,9,11,1,1,AM,Harrisburg,-1.0
NY,12,15,1,1,AM,Washington Union,-1.0
NY,12,16,1,1,AM,Roanoke,98.0
NY,8,1,2,1,AM,Philadelphia 30th Street,-1.0
NY,14,10,2,1,AM,Savannah,1440.0
NY,13,11,2,1,AM,Harrisburg,-1.0
NY,6,13,2,0,No,Trenton,-1.0
NY,1,13,2,0,No,Trenton,-1.0
NY,1,14,2,0,No,Trenton,27.0
NY,3,14,2,0,No,Trenton,-1.0
NY,12,16,2,1,AM,Washington Union,1410.0
NY,3,17,2,0,No,Trenton,179.0
NY,10,17,2,0,Mo,Dover -SEC,-1.0
NY,1,18,2,0,Mo,MSU -SEC,290.0
NY,8,19,2,0,No,Trenton &#9992,1081.0
NY,11,20,2,1,AM,Washington Union,2671.0
NY,1,20,2,0,Mo,MSU,121.0
NY,13,21,2,0,No,Bay Head -SEC,584.0
NY,3,21,2,0,Gl,Gladstone,226.0
NY,4,21,2,0,No,Long Branch,-1.0
NY,9,21,2,0,Mo,Summit,2059.0
NY,2,21,2,0,Mo,Dover,-1.0
NY,4,22,2,0,Mo,MSU,38.0
NY,13,22,2,0,No,Trenton -SEC,73.0
NY,2,22,2,0,Mo,Dover,64.0
NY,1,0,3,0,Mo,MSU -SEC,223.0
NY,8,1,3,1,AM,Philadelphia 30th Street,359.0
NY,3,1,3,0,Mo,MSU -SEC,254.0
NY,3,2,3,0,Mo,Dover -SEC,41.0
NY,6,2,3,0,Ra,High Bridge,809.0
NY,4,3,3,0,No,Trenton,275.0
NY,3,10,3,0,No,Trenton,505.0
NY,12,11,3,1,AM,Charlotte,1134.0
NY,9,12,3,0,Mo,Dover,866.0
NY,11,12,3,0,No,Jersey Avenue,941.0
NY,1,12,3,0,No,Trenton,710.0
NY,12,12,3,0,No,Trenton,97.0
NY,4,13,3,0,No,Trenton -SEC &#9992,598.0
NY,1,13,3,0,NE,Trenton,54.0
NY,7,13,3,0,Mo,Summit -SEC,-1.0
NY,13,13,3,1,AM,Washington Union,911.0
NY,4,13,3,0,Mo,MSU -SEC,39.0
NY,2,13,3,0,No,Long Branch,890.0
NY,6,14,3,0,Mo,MSU -SEC,701.0
NY,13,14,3,0,No,Trenton,68.0
NY,10,14,3,0,ME,Dover,1255.0
NY,9,15,3,0,NE,Trenton,215.0
NY,1,16,3,0,No,Trenton,162.0
NY,2,17,3,0,Ra,Raritan -SEC,234.0
NY,4,18,3,0,NE,Trenton,264.0
NY,5,18,3,1,AM,Harrisburg,-1.0
NY,1,19,3,0,No,Trenton &#9992,180.0
NY,11,19,3,0,No,South Amboy -SEC &#9992,435.0
NY,1,19,3,0,No,Trenton &#9992,41.0
NY,15,19,3,0,No,Long Branch,-1.0
NY,13,19,3,0,No,Jersey Avenue -SEC,323.0
NY,6,20,3,1,AM,Harrisburg,334.0
NY,13,20,3,1,AM,Washington Union,28.0
NY,11,20,3,0,No,Trenton -SEC,81.0
NY,3,20,3,0,Mo,Summit,605.0
NY,7,20,3,0,Mo,Dover -SEC,444.0
NY,12,21,3,0,No,Bay Head -SEC,500.0
NY,3,21,3,0,No,Trenton,20.0
NY,1,21,3,0,No,South Amboy -SEC,83.0
NY,11,21,3,1,AM,Washington Union,46.0
NY,1,21,3,0,No,Trenton -SEC,33.0
NY,9,21,3,0,Mo,Dover -SEC,364.0
NY,2,22,3,0,No,Long Branch,261.0
NY,11,22,3,0,Gl,Gladstone,39.0
NY,12,22,3,1,AM,Washington Union,67.0
NY,1,22,3,0,Mo,MSU,34.0
NY,1,22,3,0,Mo,MSU,29.0
NY,2,2,4,0,No,Jersey Avenue,246.0
NY,14,8,4,0,No,Long Branch,2786.0
NY,9,10,4,0,Mo,Summit,781.0
NY,2,10,4,0,No,South Amboy,520.0
NY,4,11,4,0,No,Long Branch,1014.0
NY,4,12,4,0,Mo,Dover,61.0
NY,1,12,4,0,No,Trenton,824.0
NY,12,12,4,0,No,Trenton,873.0
NY,4,13,4,0,No,Trenton,62.0
NY,12,13,4,0,No,Trenton,38.0
NY,4,13,4,0,Mo,MSU -SEC,39.0
NY,9,14,4,0,No,Trenton -SEC &#9992,199.0
NY,8,14,4,0,Mo,Dover -SEC,2224.0
NY,7,14,4,0,Mo,MSU -SEC,1063.0
NY,3,14,4,0,No,Long Branch -SEC &#9992,1060.0
NY,4,14,4,0,Mo,Dover -SEC,63.0
NY,2,15,4,0,Mo,MSU -SEC,282.0
NY,10,15,4,0,Mo,Dover -SEC,1500.0
NY,3,16,4,0,No,Trenton -SEC &#9992,78.0
NY,11,16,4,1,AM,Washington Union,1084.0
NY,4,16,4,0,Mo,MSU -SEC,103.0
NY,1,16,4,0,No,Long Branch -SEC &#9992,258.0
NY,3,16,4,0,Ra,High Bridge,44.0
NY,2,16,4,0,Mo,Dover -SEC,78.0
NY,6,17,4,0,No,Trenton,1262.0
NY,4,17,4,0,Mo,MSU,60.0
NY,1,17,4,0,No,Long Branch,60.0
NY,12,17,4,1,AM,Washington Union,270.0
NY,6,18,4,1,AM,Harrisburg,66.0
NY,1,18,4,0,No,Jersey Avenue,44.0
NY,9,18,4,0,No,Long Branch -SEC &#9992,285.0
NY,8,19,4,0,No,Trenton &#9992,297.0
NY,3,19,4,0,No,Jersey Avenue -SEC &#9992,142.0
NY,2,19,4,0,No,South Amboy -SEC &#9992,153.0
NY,1,19,4,0,Mo,Dover,59.0
NY,13,19,4,0,No,Trenton &#9992,1398.0
NY,15,19,4,0,No,Long Branch -SEC,1440.0
NY,10,19,4,0,Mo,MSU -SEC,241.0
NY,1,20,4,0,Mo,Summit,41.0
NY,7,20,4,0,No,South Amboy -SEC &#9992,340.0
NY,14,20,4,0,No,Trenton -SEC,705.0
NY,12,20,4,0,No,Jersey Avenue,153.0
NY,12,21,4,0,No,Bay Head,39.0
NY,10,21,4,0,No,Jersey Avenue,81.0
NY,9,22,4,1,AM,Washington Union,202.0
NY,4,22,4,0,NE,Trenton,288.0
NY,13,22,4,0,Mo,Dover -SEC,160.0
NY,1,22,4,0,Mo,MSU -SEC,154.0
NY,2,23,4,0,No,Long Branch,221.0
NY,1,23,4,0,Mo,Dover -SEC,45.0
NY,2,23,4,0,No,Jersey Avenue -SEC &#9992,42.0
NY,4,0,5,0,Mo,Dover,108.0
NY,1,0,5,0,No,Trenton -SEC &#9992,41.0
