station_code,track,hour_of_day,day_of_week,is_amtrak,line_code,destination,minutes_since_track_used
PH,5,22,0,1,AM,Washington Union,-1.0
PH,4,23,0,1,AM,New York Penn,-1.0
PH,5,23,0,1,AM,Washington Union,47.0
PH,3,23,0,1,AM,New York Penn,-1.0
PH,6,23,0,1,AM,Washington Union,-1.0
PH,5,23,0,1,AM,Washington Union,33.0
PH,4,0,1,1,AM,New York Penn,63.0
PH,5,0,1,1,AM,Washington Union,30.0
PH,3,0,1,1,AM,New York Penn,68.0
PH,3,0,1,1,AM,New York Penn,6.0
PH,5,1,1,1,AM,Washington Union,74.0
PH,5,1,1,1,AM,Washington Union,3.0
PH,2,1,1,1,AM,New York Penn,-1.0
PH,5,2,1,1,AM,Philadelphia 30th Street,62.0
PH,6,9,1,1,AM,Roanoke,597.0
PH,4,9,1,1,AM,Boston South,585.0
PH,5,10,1,1,AM,Washington Union,461.0
PH,4,10,1,1,AM,Boston South,42.0
PH,5,10,1,1,AM,Washington Union,13.0
PH,9,10,1,1,AM,New York Penn,-1.0
PH,9,10,1,1,AM,New York Penn,11.0
PH,5,11,1,1,AM,Washington Union,28.0
PH,4,11,1,1,AM,Boston South,55.0
PH,5,11,1,1,AM,Washington Union,23.0
PH,5,11,1,1,AM,Washington Union,9.0
PH,9,12,1,1,AM,New York Penn,65.0
PH,4,12,1,1,AM,New York Penn,55.0
PH,4,12,1,1,AM,Boston South,5.0
PH,6,12,1,1,AM,Charlotte,179.0
PH,9,12,1,1,AM,New York Penn,45.0
PH,5,12,1,1,AM,Washington Union,79.0
PH,4,13,1,1,AM,Boston South,35.0
PH,4,13,1,1,AM,New York Penn,32.0
PH,9,13,1,1,AM,New York Penn,60.0
PH,4,13,1,1,AM,St. Albans,21.0
PH,4,14,1,1,AM,Boston South,54.0
PH,4,15,1,1,AM,Boston South,11.0
PH,9,15,1,1,AM,New York Penn,79.0
PH,4,15,1,1,AM,New York Penn,28.0
PH,4,16,1,1,AM,New York Penn,34.0
PH,4,16,1,1,AM,New York Penn,10.0
PH,5,16,1,1,AM,Washington Union,216.0
PH,4,17,1,1,AM,New York Penn,54.0
PH,5,17,1,1,AM,Washington Union,71.0
PH,9,18,1,1,AM,New York Penn,184.0
PH,6,18,1,1,AM,Roanoke,342.0
PH,4,19,1,1,AM,Boston South,127.0
PH,5,19,1,1,AM,Washington Union,90.0
PH,5,19,1,1,AM,Washington Union,9.0
PH,4,19,1,1,AM,Boston South,12.0
PH,4,20,1,1,AM,Boston South,64.0
PH,6,20,1,1,AM,Richmond Main Street,135.0
PH,4,20,1,1,AM,Springfield,22.0
PH,9,21,1,1,AM,New York Penn,186.0
PH,4,21,1,1,AM,Boston South,35.0
PH,3,21,1,1,AM,Boston South,1242.0
PH,5,22,1,1,AM,Washington Union,156.0
PH,9,22,1,1,AM,New York Penn,88.0
PH,5,22,1,1,AM,Washington Union,49.0
PH,4,23,1,1,AM,New York Penn,93.0
PH,5,23,1,1,AM,Washington Union,39.0
PH,9,23,1,1,AM,New York Penn,57.0
PH,4,0,2,1,AM,New York Penn,60.0
PH,2,0,2,1,AM,New York Penn,1330.0
PH,9,0,2,1,AM,New York Penn,62.0
PH,4,1,2,1,AM,New York Penn,71.0
PH,6,9,2,1,AM,Roanoke,784.0
PH,4,9,2,1,AM,Boston South,520.0
PH,5,10,2,1,AM,Washington Union,658.0
PH,4,10,2,1,AM,Boston South,42.0
PH,5,10,2,1,AM,Washington Union,13.0
PH,9,10,2,1,AM,New York Penn,603.0
PH,9,10,2,1,AM,New York Penn,11.0
PH,5,11,2,1,AM,Washington Union,28.0
PH,4,11,2,1,AM,Boston South,55.0
PH,5,11,2,1,AM,Savannah,23.0
PH,5,11,2,1,AM,Washington Union,9.0
PH,9,12,2,1,AM,New York Penn,65.0
PH,4,12,2,1,AM,Boston South,60.0
PH,6,12,2,1,AM,Charlotte,179.0
PH,9,12,2,1,AM,New York Penn,45.0
PH,5,12,2,1,AM,Washington Union,79.0
PH,4,13,2,1,AM,Boston South,35.0
PH,4,13,2,1,AM,New York Penn,32.0
PH,9,13,2,1,AM,New York Penn,60.0
PH,4,13,2,1,AM,St. Albans,21.0
PH,7,14,2,1,AM,Washington Union,-1.0
PH,4,15,2,1,AM,Boston South,65.0
PH,9,15,2,1,AM,New York Penn,79.0
PH,4,15,2,1,AM,New York Penn,28.0
PH,9,15,2,1,AM,New York Penn,45.0
PH,4,16,2,1,AM,New York Penn,34.0
PH,4,16,2,1,AM,New York Penn,10.0
PH,5,16,2,1,AM,Washington Union,216.0
PH,5,17,2,1,AM,Washington Union,71.0
PH,9,18,2,1,AM,New York Penn,139.0
PH,4,19,2,1,AM,Boston South,181.0
PH,5,19,2,1,AM,Washington Union,90.0
PH,5,19,2,1,AM,Washington Union,9.0
PH,4,19,2,1,AM,Boston South,12.0
